0.000000000000000000e+00,3.599945000000000164e+02,2.071380000000000148e-05
2.500000000000000000e-01,2.361999999999966349e-01,2.028070000000000049e-05
5.000000000000000000e-01,4.943999999999846295e-01,1.982429999999999924e-05
7.500000000000000000e-01,7.470999999999889951e-01,1.939969999999999995e-05
1.000000000000000000e+00,9.943000000000097316e-01,1.897500000000000044e-05
1.250000000000000000e+00,1.252400000000022828e+00,1.851689999999999884e-05
1.500000000000000000e+00,1.505100000000027194e+00,1.807890000000000067e-05
1.750000000000000000e+00,1.746800000000007458e+00,1.766170000000000066e-05
2.000000000000000000e+00,1.999500000000011823e+00,1.723370000000000069e-05
2.250000000000000000e+00,2.241199999999992087e+00,1.682570000000000054e-05
2.500000000000000000e+00,2.493899999999996453e+00,1.640850000000000053e-05
2.750000000000000000e+00,2.746600000000000819e+00,1.599300000000000087e-05
3.000000000000000000e+00,2.999300000000005184e+00,1.557669999999999945e-05
3.250000000000000000e+00,3.246500000000025921e+00,1.517790000000000083e-05
3.500000000000000000e+00,3.499099999999998545e+00,1.476820000000000033e-05
3.750000000000000000e+00,3.757299999999986539e+00,1.425760000000000051e-05
4.000000000000000000e+00,3.993499999999983174e+00,1.388459999999999917e-05
4.250000000000000000e+00,4.246199999999987540e+00,1.351249999999999980e-05
4.500000000000000000e+00,4.493400000000008276e+00,1.313960000000000037e-05
4.750000000000000000e+00,4.746100000000012642e+00,1.286010000000000076e-05
5.000000000000000000e+00,4.998800000000017008e+00,1.249130000000000016e-05
5.250000000000000000e+00,5.240499999999997272e+00,1.213329999999999952e-05
5.500000000000000000e+00,5.509599999999977626e+00,1.175450000000000071e-05
5.750000000000000000e+00,5.756799999999998363e+00,1.139910000000000069e-05
6.000000000000000000e+00,6.009500000000002728e+00,1.102869999999999996e-05
6.250000000000000000e+00,6.245699999999999363e+00,1.066159999999999970e-05
6.500000000000000000e+00,6.498400000000003729e+00,1.028190000000000061e-05
6.750000000000000000e+00,6.751100000000008095e+00,9.954030000000000308e-06
7.000000000000000000e+00,6.998299999999971988e+00,9.634470000000000271e-06
7.250000000000000000e+00,7.245499999999992724e+00,9.318250000000000103e-06
7.500000000000000000e+00,7.498199999999997090e+00,8.997870000000000301e-06
7.750000000000000000e+00,7.750900000000001455e+00,8.690830000000000273e-06
8.000000000000000000e+00,8.009000000000014552e+00,8.371270000000000235e-06
8.250000000000000000e+00,8.239699999999970714e+00,8.085919999999999656e-06
8.500000000000000000e+00,8.492399999999975080e+00,7.778890000000000327e-06
8.750000000000000000e+00,8.745099999999979445e+00,7.506049999999999903e-06
9.000000000000000000e+00,8.997799999999983811e+00,7.222379999999999958e-06
9.250000000000000000e+00,9.245000000000004547e+00,6.943709999999999965e-06
9.500000000000000000e+00,9.497700000000008913e+00,6.660030000000000167e-06
9.750000000000000000e+00,9.744899999999972806e+00,6.390529999999999613e-06
1.000000000000000000e+01,9.997599999999977172e+00,6.095170000000000123e-06
1.025000000000000000e+01,1.024479999999999791e+01,5.845709999999999635e-06
1.050000000000000000e+01,1.050290000000001100e+01,5.590399999999999872e-06
1.075000000000000000e+01,1.075009999999997490e+01,5.346769999999999801e-06
1.100000000000000000e+01,1.099180000000001201e+01,5.108139999999999682e-06
1.125000000000000000e+01,1.124450000000001637e+01,4.866180000000000393e-06
1.150000000000000000e+01,1.149169999999998026e+01,4.634230000000000013e-06
1.175000000000000000e+01,1.175540000000000873e+01,4.401450000000000016e-06
1.200000000000000000e+01,1.199709999999998900e+01,4.186189999999999979e-06
1.225000000000000000e+01,1.225520000000000209e+01,3.957980000000000347e-06
1.250000000000000000e+01,1.249689999999998236e+01,3.757010000000000050e-06
1.275000000000000000e+01,1.275510000000002719e+01,3.551439999999999831e-06
1.300000000000000000e+01,1.299680000000000746e+01,3.362569999999999808e-06
1.325000000000000000e+01,1.325499999999999545e+01,3.166019999999999970e-06
1.350000000000000000e+01,1.349119999999999209e+01,2.988080000000000112e-06
1.375000000000000000e+01,1.374939999999998008e+01,2.801960000000000190e-06
1.400000000000000000e+01,1.399660000000000082e+01,2.626949999999999895e-06
1.425000000000000000e+01,1.425479999999998881e+01,2.447749999999999985e-06
1.450000000000000000e+01,1.449650000000002592e+01,2.287339999999999940e-06
1.475000000000000000e+01,1.474909999999999854e+01,2.126260000000000036e-06
1.500000000000000000e+01,1.499630000000001928e+01,1.976279999999999906e-06
1.525000000000000000e+01,1.525450000000000728e+01,1.826640000000000057e-06
1.550000000000000000e+01,1.550170000000002801e+01,1.686340000000000104e-06
1.575000000000000000e+01,1.575439999999997553e+01,1.552550000000000068e-06
1.600000000000000000e+01,1.599610000000001264e+01,1.425859999999999931e-06
1.625000000000000000e+01,1.624880000000001701e+01,1.301590000000000103e-06
1.650000000000000000e+01,1.649049999999999727e+01,1.186159999999999922e-06
1.675000000000000000e+01,1.675959999999997763e+01,1.068900000000000049e-06
1.700000000000000000e+01,1.699579999999997426e+01,9.637359999999999154e-07
1.725000000000000000e+01,1.725400000000001910e+01,8.617469999999999674e-07
1.750000000000000000e+01,1.749020000000001573e+01,7.703570000000000470e-07
1.775000000000000000e+01,1.775389999999998736e+01,6.787999999999999638e-07
1.800000000000000000e+01,1.799009999999998399e+01,6.002630000000000328e-07
1.825000000000000000e+01,1.824829999999997199e+01,5.229789999999999610e-07
1.850000000000000000e+01,1.849549999999999272e+01,4.487819999999999750e-07
1.875000000000000000e+01,1.874270000000001346e+01,3.820679999999999772e-07
1.900000000000000000e+01,1.898989999999997735e+01,3.245219999999999991e-07
