0.000000000000000000e+00,0.000000000000000000e+00,1.600240000000000115e-04
1.000000000000000000e+01,9.981100000000026284e+00,1.735180000000000012e-04
2.000000000000000000e+01,1.997309999999998809e+01,1.772239999999999959e-04
3.000000000000000000e+01,2.997620000000000573e+01,1.696529999999999967e-04
4.000000000000000000e+01,3.998469999999997526e+01,1.516189999999999996e-04
5.000000000000000000e+01,4.997680000000002565e+01,1.260719999999999950e-04
6.000000000000000000e+01,5.998540000000002692e+01,9.639299999999999681e-05
7.000000000000000000e+01,6.997739999999998872e+01,6.592290000000000541e-05
8.000000000000000000e+01,7.998599999999999000e+01,3.802889999999999770e-05
9.000000000000000000e+01,8.997249999999996817e+01,1.629669999999999933e-05
1.000000000000000000e+02,9.998660000000000991e+01,3.154920000000000195e-06
1.100000000000000000e+02,1.099786000000000286e+02,3.688800000000000050e-07
1.200000000000000000e+02,1.199816999999999894e+02,8.186879999999999787e-06
1.300000000000000000e+02,1.299737999999999829e+02,2.543110000000000119e-05
1.400000000000000000e+02,1.399823000000000093e+02,4.966330000000000272e-05
1.500000000000000000e+02,1.499744000000000028e+02,7.921710000000000427e-05
1.600000000000000000e+02,1.599938999999999396e+02,1.095959999999999990e-04
1.700000000000000000e+02,1.699859999999999900e+02,1.371920000000000106e-04
1.800000000000000000e+02,1.799835000000000491e+02,1.593569999999999991e-04
1.900000000000000000e+02,1.899701000000000022e+02,1.725680000000000052e-04
2.000000000000000000e+02,1.999730999999999312e+02,1.750339999999999915e-04
2.100000000000000000e+02,2.099817000000000462e+02,1.680949999999999957e-04
2.200000000000000000e+02,2.199791999999999916e+02,1.513859999999999902e-04
2.300000000000000000e+02,2.299877999999999929e+02,1.269130000000000095e-04
2.400000000000000000e+02,2.399799000000000433e+02,9.747590000000000638e-05
2.500000000000000000e+02,2.499883999999999560e+02,6.698909999999999869e-05
2.600000000000000000e+02,2.599859999999999900e+02,3.866050000000000026e-05
2.700000000000000000e+02,2.699835000000000491e+02,1.674639999999999945e-05
2.800000000000000000e+02,2.799865999999999531e+02,3.413479999999999885e-06
2.900000000000000000e+02,2.899785999999999149e+02,2.906900000000000175e-07
3.000000000000000000e+02,2.999872000000000298e+02,7.748020000000000739e-06
3.100000000000000000e+02,3.099573000000000320e+02,2.483039999999999862e-05
3.200000000000000000e+02,3.199877999999999929e+02,4.969670000000000142e-05
3.300000000000000000e+02,3.299963000000000193e+02,7.893390000000000671e-05
3.400000000000000000e+02,3.399828999999999724e+02,1.092460000000000040e-04
3.500000000000000000e+02,3.499914999999999736e+02,1.372249999999999880e-04
